 A1         39.3766       -115.8206      1811.66         35.32             39.66
 A2         39.4179       -115.8125      1822.76         31.22             41.69
 A3         39.4574       -115.8003      1819.37         27.44             44.20
 A4         39.5036       -115.7845      1806.17         23.06             47.21
 A5         39.5479       -115.7704      1823.36         18.82             49.69
 A7         39.6401       -115.7789      1803.90         8.93              52.65
 A8         39.6810       -115.7779      1789.83         4.68              54.11
 A9         39.7272       -115.7679      1782.02         0.14              56.55
 A10        39.7488       -115.7733      1800.86         2.29              57.03
 A11        39.7755       -115.7652      1802.71         4.86              58.49
 A12        39.8155       -115.7511      1822.06         8.64              61.37
 A13        39.8635       -115.7320      1835.08         13.12             64.69
 A14        39.9170       -115.7385      1904.63         18.90             66.11
 A15        39.9647       -115.7465      1841.38         24.13             67.06
 A17        40.0523       -115.7785      1807.32         34.21             67.99
 A18        40.0989       -115.7832      1767.66         39.22             69.39
 A19        40.1440       -115.7541      1729.97         43.12             72.64
 A20        40.1909       -115.7434      1715.78         47.72             75.39
 A21        40.2318       -115.7069      1769.82         50.97             79.92
 A22        40.2694       -115.6817      1788.47         54.19             83.48
 T1         39.5414       -116.3802      1868.12         1.86              0.00
 T2         39.5503       -116.3368      1856.71         2.20              3.83
 T4         39.6023       -116.1448      1835.73         2.34              21.53
 T7         39.7132       -115.7629      1781.81         1.73              56.55
 T8         39.7437       -115.6735      1828.43         1.09              64.69
 T10        40.0476       -114.6406      1821.23         2.01              159.36
 T11        40.0636       -114.5855      1898.51         2.18              164.36
 T13        40.0993       -114.5496      1859.82         4.97              168.37
 T14        40.1821       -114.0128      1602.72         0.71              214.87
 C1         39.9284       -113.9995      1760.33         27.83             207.44
 C2         39.9713       -113.9775      1714.80         23.89             210.39
 C3         40.0161       -113.9731      1635.32         19.27             212.28
 C4         40.0611       -113.9766      1642.66         14.43             213.36
 C5         40.1052       -113.9701      1582.69         9.95              215.61
 C6         40.1518       -113.9839      1579.06         4.67              216.20
 C7         40.1738       -113.9970      1557.79         2.01              215.91
 C8         40.1945       -113.9870      1543.37         0.08              217.36
 C9         40.2174       -113.9901      1529.41         2.42              217.92
 C11        40.2881       -113.9884      1527.69         9.83              220.69
  A01          1.817            0.097           2.770           0.117          0.294          0.015
  A02          1.518            0.156           2.423           0.132          0.357          0.018
  A03          1.781            0.087           3.167           0.084          0.339          0.009
  A04          1.521            0.070           2.692           0.080          0.348          0.011
  A05          1.528            0.072           2.643           0.083          0.347          0.008
  A07          1.925            0.079           3.451           0.088          0.321          0.008
  A08          0.970            0.025           2.319           0.077          0.327          0.003
  A09          1.923            0.067           3.321           0.091          0.321          0.010
  A10          1.329            0.051           2.534           0.065          0.331          0.007
  A11          1.748            0.066           3.138           0.077          0.321          0.009
  A12          2.074            0.082           3.625           0.083          0.319          0.010
  A13          2.757            0.147           4.757           0.172          0.320          0.008
  A14          1.591            0.029           3.130           0.131          0.313          0.013
  A15          2.032            0.114           3.511           0.141          0.316          0.013
  A17          1.525            0.077           2.786           0.076          0.354          0.008
  A18          1.769            0.062           3.003           0.054          0.322          0.011
  A19          2.065            0.200           3.440           0.226          0.345          0.015
  A20          1.910            0.241           2.977           0.095          0.392          0.035
  A21          1.391            0.160           2.010           0.110          0.368          0.033
  A22          1.557            0.069           2.751           0.111          0.308          0.005
  T01          1.212            0.052           1.748           0.032          0.312          0.013
  T02          1.459            0.071           2.134           0.059          0.314          0.011
  T04          1.509            0.066           2.306           0.066          0.303          0.011
  T07          1.567            0.066           2.775           0.092          0.330          0.010
  T08          2.132            0.086           3.847           0.078          0.315          0.008
  T10          2.852            0.080           5.189           0.054          0.229          0.007
  T11          2.881            0.059           5.428           0.062          0.236          0.005
  T13          2.823            0.076           4.990           0.142          0.216          0.005
  T14          3.058            0.075           5.451           0.172          0.180          0.010
  C01          2.713            0.094           4.819           0.248          0.181          0.008
  C02          2.778            0.142           4.925           0.257          0.187          0.005
  C03          3.164            0.146           5.674           0.244          0.178          0.009
  C04          3.229            0.157           5.786           0.305          0.169          0.009
  C05          2.883            0.197           5.090           0.340          0.175          0.010
  C06          2.319            0.064           4.194           0.135          0.182          0.008
  C07          2.896            0.298           5.180           0.475          0.194          0.008
  C08          2.824            0.306           5.708           0.403          0.132          0.009
  C09          3.120            0.206           5.658           0.439          0.158          0.009
  C11          2.611            0.113           4.811           0.256          0.180          0.009
